,cp,p,idx,quant
0,0.944074273109436,0.1541093349456787,1.0,0.8
1,0.957052443921566,0.08179245404899121,2.0,0.85
2,0.968816590309143,0.03585325442254542,4.0,0.9
3,0.9809248447418213,0.01054605967365206,9.0,0.95
4,0.9936589660606115,0.0010502739215735365,24.0,0.99
5,0.9997278866148263,9.508343072957359e-05,44.0,0.999
